description,costPrice,salePrice,quantity,idProveedor,code,size,activo
ranita floreada tomiko - blanco,3000.0,6000.0,1,1,ranita floreada tomiko - blanco-3000-6000-3M-1,3M,0
"pantalón floreado I.M. - blanco ",2500.0,5000.0,1,1,pantalón floreado I.M. - blanco -2500-5000-3M-1,3M,0
"ranita vaquita ",3000.0,6000.0,1,1,3931-BLA-3M,3M,0
"pantalón pequeño amor - gris ",2500.0,5000.0,3,1,pantalón pequeño amor - gris -2500-5000-3M-1,3M,0
pantalón estrella - rosa,4000.0,8000.0,1,1,0404600010003M,3M,0
"pantalon pequeño amor - negro ",2500.0,5000.0,3,1,pantalon pequeño amor - negro -2500-5000-3M-1,3M,0
ranita plush todo amor - verde,3000.0,6000.0,1,1,ranita plush todo amor - verde-3000-6000-3M-1,3M,0
"ranita plush lisa - celeste ",3000.0,6000.0,1,1,ranita plush lisa - celeste -3000-6000-3M-1,3M,0
"pantalón plush liso - celeste ",3000.0,6000.0,1,1,pantalón plush liso - celeste -3000-6000-3M-1,3M,0
"pantalon plush floreado - blanco ",3500.0,7000.0,1,1,pantalon plush floreado - blanco -3500-7000-3M-1,3M,0
pantalon corderoy - bordo,3500.0,7000.0,1,1,pantalon corderoy - bordo-3500-7000-3M-1,3M,0
"pantalón dinosaurio - blanco ",3000.0,6000.0,1,1,pantalón dinosaurio - blanco -3000-6000-3M-1,3M,0
calza ardilla - rosa bebe,3000.0,6000.0,1,1,0400350010003M,3M,0
"pantalón milena - verde ",3500.0,7000.0,1,1,0434860031003M,3M,0
pantalón milena - rosa,3500.0,7000.0,1,1,pantalón milena - rosa-3500-7000-3M-1,3M,0
"ranita vaquita - celeste ",3000.0,6000.0,2,1,3931-CEL-3M,3M,0
ranita pajaritos - crudo,3000.0,6000.0,1,1,ranita pajaritos - crudo-3000-6000-3M-1,3M,0
pantalón leysa - rojo,3000.0,6000.0,1,1,pantalón leysa - rojo-3000-6000-3M-1,3M,0
ajuar leysa - rojo,3000.0,6000.0,1,1,0158470050003M,3M,0
ajuar universo -beige,3000.0,6000.0,1,1,0158990842003M,3M,0
"ajuar  eliana - rosa ",3000.0,6000.0,1,1,0111320110003M,3M,0
body bear - blanco,3000.0,6000.0,1,1,0060012200003M,3M,0
"body blanca - blanco ",3000.0,6000.0,1,1,0039010100003M,3M,0
"ajuar gorrión - crudo ",3000.0,6000.0,1,1,0166130170003M,3M,0
"body eliana - blanco ",3000.0,6000.0,1,1,0245320100003M,3M,0
body Ismael - crudo,3500.0,6500.0,1,1,0054010170003M,3M,0
campera lanilla - negro,3500.0,7000.0,1,1,campera lanilla - negro-3500-7000-3M-1,3M,0
"saquito plush I.M. - blanco ",3000.0,6000.0,1,1,saquito plush I.M. - blanco -3000-6000-3M-1,3M,0
saquito plush floreado I.M. - blanco,3500.0,7000.0,0,1,saquito plush floreado I.M. - blanco-3500-7000-3M-1,3M,0
calza bambi - rosa bebe,3000.0,6000.0,1,1,0400740010003M,3M,1
ranita floreados tomiko - blanca,3000.0,6000.0,1,1,ranita floreados tomiko - blanca-3000-6000-3M-1,3M,0
ranita floredo -  celeste,3000.0,6000.0,1,1,ranita floredo -  celeste-3000-6000-3M-1,3M,0
calza moño - blanco,3000.0,6000.0,1,1,calza moño - blanco-3000-6000-3M-1,3M,0
ranita lisa - gris,2500.0,5000.0,1,1,ranita lisa - gris-2500-5000-3M-1,3M,0
calza ardilla - beige,3000.0,6000.0,1,1,0400350042003M,3M,0
calza bambi - rosa bebe,3000.0,6000.0,1,1,0400740010003M,3M,0
pantalón lisa - azul,2000.0,4000.0,1,1,pantalón lisa - azul-2000-4000-3M-1,3M,0
baiker floreado - blanco,2500.0,5000.0,1,1,baiker floreado - blanco-2500-5000-3M-1,3M,0
baiker puntilla - blanco,2500.0,5000.0,1,1,baiker puntilla - blanco-2500-5000-3M-1,3M,0
baiker puntilla - rosa,2500.0,5000.0,1,1,baiker puntilla - rosa-2500-5000-3M-1,3M,0
baiker  liso - blanco,2000.0,4000.0,1,1,baiker  liso - blanco-2000-4000-3M-1,3M,0
short Dina - rosa,2500.0,5000.0,1,1,5553-NAT-1M,3M,0
short EMMA mini - fuccia,2000.0,4000.0,1,1,short EMMA mini - fuccia-2000-4000-3M-1,3M,0
pantalón estrella - beige,4000.0,8000.0,1,1,0404600042003M,3M,0
pantalón lanilla - verde,2500.0,5000.0,1,1,pantalón lanilla - verde-2500-5000-3M-1,3M,0
pantalon floreado - blanco,3000.0,6000.0,1,1,pantalon floreado - blanco-3000-6000-3M-1,3M,0
"pantalon plush I.M. - blanco ",3500.0,7000.0,1,1,pantalon plush I.M. - blanco -3500-7000-3M-1,3M,0
"ranita lisa todo amor - blanco ",2500.0,5000.0,1,1,ranita lisa todo amor - blanco -2500-5000-3M-1,3M,0
pabtalon salos - petroleo,2000.0,4000.0,1,1,pabtalon salos - petroleo-2000-4000-3M-1,3M,0
pantalón liso plush I.M. - rosa,3000.0,6000.0,1,1,pantalón liso plush I.M. - rosa-3000-6000-3M-1,3M,0
pantalon lanilla - negro,2500.0,5000.0,1,1,pantalon lanilla - negro-2500-5000-3M-1,3M,0
"saquito waffle - mostaza ",2500.0,5000.0,1,1,0512320186003M,3M,0
buzito de lanilla - baige,2500.0,5000.0,1,1,buzito de lanilla - baige-2500-5000-3M-1,3M,0
campera leona - gris,3000.0,6000.0,1,1,campera leona - gris-3000-6000-3M-1,3M,0
"pantalon liso con azul - blanco ",2000.0,4000.0,1,1,pantalon liso con azul - blanco -2000-4000-3M-1,3M,0
"pantalón rayas anchas ",3000.0,6000.0,1,1,pantalón rayas anchas -3000-6000-3M-1,3M,0
"pantalon tortuguita - blanco ",3000.0,6000.0,1,1,pantalon tortuguita - blanco -3000-6000-3M-1,3M,0
pantalon rayas gris I.M. - gris,3000.0,6000.0,1,1,pantalon rayas gris I.M. - gris-3000-6000-3M-1,3M,0
pantalon pequeño amor - modtaza,2500.0,5000.0,1,1,pantalon pequeño amor - modtaza-2500-5000-3M-1,3M,0
calza flores bcas - lila,3000.0,6000.0,1,1,calza flores bcas - lila-3000-6000-3M-1,3M,0
calza volados con frizza - blanca,3000.0,6000.0,1,1,calza volados con frizza - blanca-3000-6000-3M-1,3M,0
"campera conejito - blanco ",3000.0,6000.0,1,1,campera conejito - blanco -3000-6000-3M-1,3M,0
"ranita de plush lisa - blanca ",2500.0,5000.0,1,1,ranita de plush lisa - blanca -2500-5000-3M-1,3M,0
shorsito bebe - verde,2500.0,5000.0,1,1,shorsito bebe - verde-2500-5000-3M-1,3M,0
short Pedro - beige,2500.0,5000.0,1,1,0779320042003M,3M,0
"pantalon dinosaurio - blanco ",3000.0,6000.0,1,1,pantalon dinosaurio - blanco -3000-6000-3M-1,3M,0
body chomba matias ml - marino,3500.0,7000.0,1,1,0051000125003M,3M,0
"ajuar dino - blanco ",3000.0,6000.0,1,1,0158380100003M,3M,1
ajuar mapache - gris melange,3000.0,6000.0,0,1,0156370190003M,3M,0
body termico - militar,3500.0,7000.0,1,1,0028860130003M,3M,0
body termico - rosa bebe,3000.0,6000.0,1,1,0028860110003M,3M,0
body termico - marino,3000.0,6000.0,1,1,0028860125003M,3M,0
body Ismael m/c - beige,3000.0,6000.0,1,1,0059010042006M,3M,0
"body ositos m/c - blanco ",2500.0,5000.0,1,1,body ositos m/c - blanco -2500-5000-3M-1,3M,0
"body liso m/c - celeste ",2500.0,5000.0,1,1,body liso m/c - celeste -2500-5000-3M-1,3M,0
"body autitos - blanco ",2500.0,5000.0,1,1,body autitos - blanco -2500-5000-3M-1,3M,0
"body calado m/c - blanco ",2500.0,5000.0,1,1,body calado m/c - blanco -2500-5000-3M-1,3M,0
buzo mara - rosa bebe,3500.0,7000.0,1,1,buzo mara - rosa bebe-3500-7000-3M-1,3M,1
"buzo mara - caramelo ",3500.0,7000.0,1,1,buzo mara - caramelo -3500-7000-3M-1,3M,1
buzo ciervo - rosa bebe,3500.0,7000.0,1,1,buzo ciervo - rosa bebe-3500-7000-6M-1,6M,0
"buzo mara - caramelo ",3500.0,7000.0,1,1,buzo mara - caramelo -3500-7000-6M-1,6M,0
buzo mara - rosa bebe,3500.0,7000.0,1,1,buzo mara - rosa bebe-3500-7000-6M-1,6M,0
"buzo antonia - rosa bebe ",3500.0,7000.0,1,1,buzo antonia - rosa bebe -3500-7000-6M-1,6M,0
"buzo lanilla - beige ",2500.0,5000.0,2,1,buzo lanilla - beige -2500-5000-6m-2,6m,0
campera Leona - gris,3000.0,6000.0,1,1,campera Leona - gris-3000-6000-6M-1,6M,0
conjunto otto - ladrillo,3500.0,7000.0,1,1,0604800143006M,6M,0
saquito waffle - gris melange,2500.0,5000.0,1,1,0512320190006M,6M,0
campera de hilo - gris,4000.0,8000.0,1,1,campera de hilo - gris-4000-8000-6M-1,6M,0
"campera dino lanilla - gris ",3500.0,7000.0,1,1,campera dino lanilla - gris -3500-7000-6M-1,6M,0
"campera pollito - blanca ",2500.0,5000.0,1,1,campera pollito - blanca -2500-5000-6M-1,6M,0
campera bordada I.M. - gris,4000.0,8000.0,1,1,campera bordada I.M. - gris-4000-8000-6M-1,6M,0
"campera bordada I.M. - beige ",3500.0,7000.0,1,1,campera bordada I.M. - beige -3500-7000-6M-1,6M,0
"campera I.M. - azul ",2500.0,5000.0,1,1,campera I.M. - azul -2500-5000-6M-1,6M,0
"saquito plush liso - blanco ",3000.0,6000.0,1,1,saquito plush liso - blanco -3000-6000-6M-1,6M,0
"campera lanilla - verde militar ",3000.0,6000.0,1,1,campera lanilla - verde militar -3000-6000-6M-1,6M,0
"saquito liso plush - celeste ",3000.0,6000.0,2,1,saquito liso plush - celeste -3000-6000-6M-1,6M,0
saquito plush tomiko - rosa,3500.0,7000.0,1,1,saquito plush tomiko - rosa-3500-7000-6M-1,6M,0
"saquito liso plush - blanco ",3000.0,6000.0,1,1,saquito liso plush - blanco -3000-6000-6M-1,6M,0
"body polera - celeste ",2000.0,4000.0,1,1,body polera - celeste -2000-4000-6M-1,6M,0
body termico - marino,3500.0,7000.0,1,1,0028860125006M,6M,0
"body termico - militar ",3500.0,7000.0,1,1,body termico - militar -3500-7000-6M-1,6M,1
"body termico - militar ",3500.0,7000.0,1,1,0028860130006M,6M,0
"body termico - rosa bebe ",3500.0,7000.0,1,1,0028860110006M,6M,0
" body m/l - negro ",2500.0,5000.0,1,1," body m/l - negro -2500-5000-6M-1",6M,0
"ajuar leysa - amarillo ",3000.0,6000.0,1,1,0158470037006M,6M,0
"body rayado ",3000.0,6000.0,1,1,body rayado -3000-6000-6M-1,6M,0
"ajuar dino - blanco ",3000.0,6000.0,1,1,0158380100006M,6M,0
"body Ismael m/L - mostaza ",3500.0,6500.0,1,1,0054010186006M,6M,0
"body liso - blanco ",2000.0,4000.0,1,1,body liso - blanco -2000-4000-6M-1,6M,0
body camioncitos - verde,2500.0,5000.0,1,1,body camioncitos - verde-2500-5000-6M-1,6M,0
"body duermo de dia - militar ",3000.0,6000.0,1,1,body duermo de dia - militar -3000-6000-6M-1,6M,0
"body m/L liso - celeste ",2000.0,4000.0,1,1,body m/L liso - celeste -2000-4000-6M-1,6M,0
body rayitas grises,2500.0,5000.0,1,1,body rayitas grises-2500-5000-6M-1,6M,0
"body edicion limitada - celeste ",2500.0,5000.0,1,1,body edicion limitada - celeste -2500-5000-6M-1,6M,0
body capucha conejito - verde,3000.0,6000.0,1,1,body capucha conejito - verde-3000-6000-6M-1,6M,0
"body morley m/L - celeste ",2500.0,5000.0,1,1,body morley m/L - celeste -2500-5000-6M-1,6M,0
"body classic M/L - negro ",3000.0,6000.0,1,1,body classic M/L - negro -3000-6000-6M-1,6M,0
remera conejito luna - rosa bebe,3000.0,6000.0,1,1,remera conejito luna - rosa bebe-3000-6000-6M-1,6M,0
body clementina - rosa,3000.0,6000.0,1,1,body clementina - rosa-3000-6000-6M-1,6M,0
"body carolina - crudo ",2500.0,5000.0,1,1,body carolina - crudo -2500-5000-6M-1,6M,0
"body flores - celeste ",2500.0,5000.0,1,1,body flores - celeste -2500-5000-6M-1,6M,0
body cari - crudo,2500.0,5000.0,1,1,3917-NAT-6M,6M,1
"body morley m/L - rosa ",2500.0,5000.0,1,1,body morley m/L - rosa -2500-5000-6M-1,6M,0
"body floreado moño ",2500.0,5000.0,1,1,body floreado moño -2500-5000-6M-1,6M,0
body oveja - rosa,2500.0,5000.0,3,1,body oveja - rosa-2500-5000-6M-1,6M,0
body pajaritos rosas,2500.0,5000.0,1,1,body pajaritos rosas-2500-5000-6M-1,6M,0
ajuar forest - crudo,3000.0,6000.0,1,1,0169630170006M,6M,0
ajuar eliana - crudo,3000.0,6000.0,0,1,0111320170006M,6M,0
body bear - blanco,3000.0,6000.0,1,1,0060012200006M,6M,0
body blanca - rosa,3000.0,6000.0,1,1,0039010110006M,6M,0
body eliana - rosa,3000.0,6000.0,1,1,0245320110006M,6M,0
body ismael m/L - marino,3500.0,6500.0,1,1,0054010125006M,6M,0
"body chomba matias - blanco ",3500.0,7000.0,0,1,0051000100006M,6M,0
ajuar dino -beige,3000.0,6000.0,1,1,0158380142006M,6M,0
"ajuar mapache - gris ",3000.0,6000.0,1,1,0156370190006M,6M,0
"body bailarina - manteca ",2500.0,5000.0,1,1,body bailarina - manteca -2500-5000-6M-1,6M,0
body hongos conejito - crudo,2500.0,5000.0,1,1,body hongos conejito - crudo-2500-5000-6M-1,6M,0
"body vintage - chocolate ",2500.0,5500.0,1,1,body vintage - chocolate -2500-5000-6M-1,6M,0
body lady - crudo,2500.0,5500.0,1,1,body lady - crudo-2500-5500-6M-1,6M,0
body ballet - rosa bebe,3000.0,6000.0,0,1,body ballet - rosa bebe-3000-6000-6M-1,6M,0
"body new odisea - blanco ",2500.0,5500.0,1,1,body new odisea - blanco -2500-5500-6M-1,6M,0
body lady - rosa,2500.0,5500.0,1,1,body lady - rosa-2500-5500-6M-1,6M,0
"body ballet - blanco ",3000.0,6000.0,1,1,body ballet - blanco -3000-6000-6M-1,6M,0
remera volados - mostaza,2500.0,5000.0,1,1,remera volados - mostaza-2500-5000-6M-1,6M,0
remera alitas - crudo,3000.0,6000.0,1,1,remera alitas - crudo-3000-6000-6M-1,6M,0
body estrellas,2500.0,5000.0,1,1,body estrellas-2500-5000-6M-1,6M,0
"body rayado gris ",2500.0,5000.0,0,1,0022700094006M,6M,0
body moob - arena,2500.0,5000.0,1,1,0055070128006M,6M,0
body martin m/C - gris,2000.0,4000.0,1,1,0080500190006M,6M,0
body chomba m/C - marino,3000.0,6000.0,1,1,0053000125006M,6M,1
"camisa floreada I.M. - blanco ",3500.0,6500.0,1,1,camisa floreada I.M. - blanco -3500-6500-6M-1,6M,0
body india - rosa viejo,3000.0,6000.0,1,1,0073480111006M,6M,0
body india - tostado,3000.0,6000.0,1,1,0073480127006M,6M,0
"body erizo baby - beige ",2500.0,5000.0,1,1,0045011942006M,6M,0
body bernarda - rojo,2500.0,5000.0,1,1,0038000150006M,6M,0
"body bernarda - blanco ",2500.0,2500.0,1,1,0038000100006M,6M,0
body durazno - rosa viejo,2500.0,5000.0,1,1,0082260111006M,6M,0
"body conejita - blanco ",2500.0,5000.0,1,1,0045011700006M,6M,0
"body durazno - durazno ",2500.0,5000.0,1,1,0082260139006M,6M,0
body bombachudo tomiko - manteca,3000.0,6000.0,1,1,body bombachudo tomiko - manteca-3000-6000-6M-1,6M,0
body ardilla y bambi - rosa,2500.0,5000.0,1,1,body ardilla y bambi - rosa-2500-5000-6M-1,6M,0
body vestidito - rosa,2500.0,5000.0,1,1,body vestidito - rosa-2500-5000-6M-1,6M,0
calza mon amour - melange,2500.0,5000.0,1,1,0497070090006M,6M,0
"pantalon leysa - amarillo ",3000.0,6000.0,1,1,pantalon leysa - amarillo -3000-6000-6M-1,6M,0
"pantalon dinosaurio - blanco ",3000.0,6000.0,1,1,pantalon dinosaurio - blanco -3000-6000-6M-1,6M,0
calza minianima - rosa,2500.0,5000.0,1,1,calza minianima - rosa-2500-5000-6M-1,6M,0
ranita con puño - rosa,2500.0,5000.0,2,1,0224-RO-6M,6M,0
pabtalon pajaritos rosa,2500.0,5000.0,1,1,pabtalon pajaritos rosa-2500-5000-6M-1,6M,0
"ranita con puño reb. conejo - blanco ",2500.0,5000.0,2,1,ranita con puño reb. conejo - blanco -2500-5000-6M-2,6M,0
"pantalon pequeño amor - negro ",2500.0,5000.0,2,1,pantalon pequeño amor - negro -2500-5000-6M-1,6M,0
"pabtalon calado - blanco ",2500.0,5000.0,1,1,pabtalon calado - blanco -2500-5000-6M-1,6M,0
ranita con puño - Blanco,2500.0,5000.0,2,1,0224-BL-6M,6M,0
"ranita motos - blanco ",2500.0,5000.0,1,1,ranita motos - blanco -2500-5000-6M-1,6M,0
